Order_ID,Customer_ID,Customer_Age,Customer_Gender,City,Area,Restaurant_ID,Restaurant_Name,Cuisine_Type,Order_Date,Order_Time,Delivery_Time_Min,Distance_km,Order_Value,Discount_Applied,Final_Amount,Payment_Mode,Order_Status,Cancellation_Reason,Delivery_Partner_ID,Delivery_Rating,Restaurant_Rating,Order_Day,Peak_Hour,Profit_Margin,Profit_Margin_Percentage,Delivery_Performance,Customer_Age_Group
ORD000001,CUST6948,19.0,Male,Hyderabad,Central,RES936,Restaurant_29,Chinese,10/20/2024,0:00,187.0,15.75,1197.0,50.0,1147.0,Upi,Delivered,Not Cancelled,DP563,5.0,4.4,Weekend,True,0.13,13.0,Very Slow,18-25
ORD000002,CUST6515,38.97651632035586,Female,Chennai,North,RES689,Restaurant_419,Chinese,8/12/2024,0:00,20.0,29.5,4869.0,20.0,4849.0,Cod,Delivered,Not Cancelled,DP369,5.0,4.7,Weekday,True,0.48,48.0,Fast,36-45
ORD000003,CUST1765,38.97651632035586,Male,Delhi,South,RES723,Restaurant_244,Arabian,12/8/2024,0:00,207.0,9.97,757.0,20.0,737.0,Wallet,Delivered,Not Cancelled,DP580,4.0,4.9,Weekend,True,0.08,8.0,Very Slow,36-45
ORD000004,CUST2744,38.97651632035586,Male,Mumbai,Central,RES951,Restaurant_178,Chinese,10/8/2024,0:00,,15.68,1197.0,50.0,1147.0,Upi,Cancelled,Late Delivery,DP155,,3.4,Weekday,False,0.04,4.0,Very Slow,36-45
ORD000005,CUST4389,57.0,Female,Chennai,South,RES419,Restaurant_262,Chinese,2/4/2024,0:00,51.0,9.6,372.0,20.0,352.0,Card,Delivered,Not Cancelled,DP728,2.0,4.4,Weekend,False,0.12,12.0,Moderate,46-60
ORD000006,CUST3161,37.0,Other,Chennai,East,RES810,Restaurant_153,Mexican,7/9/2024,0:00,56.0,4.0,1197.0,300.0,897.0,Card,Delivered,Not Cancelled,DP119,3.0,4.6,Weekday,True,0.24,24.0,Moderate,36-45
ORD000007,CUST2307,40.0,Other,Delhi,South,RES333,Restaurant_302,Chinese,2/14/2024,0:00,273.0,5.77,1197.0,0.0,1197.0,Upi,Delivered,Not Cancelled,DP624,2.0,4.5,Weekday,False,0.02,2.0,Very Slow,36-45
ORD000008,CUST5865,38.97651632035586,Male,Hyderabad,North,RES696,Restaurant_41,Chinese,5/26/2024,0:00,120.0,21.69,3506.0,20.0,3486.0,Upi,Delivered,Not Cancelled,DP316,5.0,3.8,Weekend,False,0.18,18.0,Slow,36-45
ORD000009,CUST4356,38.97651632035586,Other,Delhi,Central,RES780,Restaurant_155,Italian,9/7/2024,0:00,120.0,8.55,525.0,100.0,425.0,Card,Delivered,Not Cancelled,DP531,2.0,3.7,Weekend,True,0.08,8.0,Slow,36-45
ORD000010,CUST2404,38.97651632035586,Female,Hyderabad,South,RES155,Restaurant_368,Chinese,1/22/2024,0:00,120.0,32.54,4691.0,50.0,4641.0,Card,Delivered,Not Cancelled,DP338,4.0,4.5,Weekday,True,0.03,3.0,Slow,36-45
ORD000011,CUST5357,38.97651632035586,Female,Chennai,Central,RES592,Restaurant_237,Chinese,6/22/2024,0:00,31.0,9.97,4881.0,100.0,4781.0,Card,Delivered,Not Cancelled,DP498,1.0,4.0,Weekend,False,0.18,18.0,Moderate,36-45
ORD000012,CUST2651,38.97651632035586,Female,Chennai,South,RES230,Restaurant_43,Arabian,9/3/2024,0:00,233.0,9.97,1197.0,100.0,1097.0,Wallet,Delivered,Not Cancelled,DP530,3.0,3.0,Weekday,False,0.22,22.0,Very Slow,36-45
ORD000013,CUST8703,38.97651632035586,Male,Bangalore,South,RES320,Restaurant_117,Arabian,6/22/2024,0:00,266.0,9.97,417.0,20.0,397.0,Cod,Delivered,Not Cancelled,DP713,1.0,3.8,Weekend,True,0.22,22.0,Very Slow,36-45
ORD000014,CUST6301,38.97651632035586,Male,Chennai,East,RES816,Restaurant_328,Chinese,12/5/2024,0:00,294.0,9.97,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP528,3.0,4.4,Weekday,True,0.25,25.0,Very Slow,36-45
ORD000015,CUST8064,28.0,Other,Delhi,East,RES418,Restaurant_455,Mexican,5/15/2024,0:00,120.0,2.26,4017.0,300.0,3717.0,Upi,Delivered,Not Cancelled,DP219,4.0,4.8,Weekday,False,0.0,0.0,Slow,26-35
ORD000016,CUST7871,38.97651632035586,Other,Delhi,South,RES511,Restaurant_169,Indian,1/14/2024,0:00,,28.11,1197.0,20.0,1177.0,Card,Cancelled,Restaurant Issue,DP590,,4.1,Weekend,False,0.42,42.0,Very Slow,36-45
ORD000017,CUST8661,51.0,Female,Hyderabad,South,RES311,Restaurant_258,Mexican,4/3/2024,0:00,120.0,3.89,4218.0,20.0,4198.0,Card,Delivered,Not Cancelled,DP165,1.0,3.2,Weekday,True,0.26,26.0,Slow,46-60
ORD000018,CUST2861,38.97651632035586,Other,Hyderabad,West,RES562,Restaurant_51,Arabian,7/26/2024,0:00,120.0,9.97,1197.0,20.0,1177.0,Card,Delivered,Not Cancelled,DP721,5.0,3.4,Weekday,False,0.0,0.0,Slow,36-45
ORD000019,CUST1044,52.0,Female,Delhi,East,RES568,Restaurant_43,Chinese,3/6/2024,0:00,120.0,9.97,1197.0,0.0,1197.0,Card,Delivered,Not Cancelled,DP847,1.0,3.0,Weekday,False,0.0,0.0,Slow,46-60
ORD000020,CUST8005,53.0,Male,Bangalore,East,RES876,Restaurant_227,Mexican,2/4/2024,0:00,120.0,24.04,1197.0,100.0,1097.0,Cod,Delivered,Not Cancelled,DP653,5.0,5.0,Weekend,True,0.29,28.999999999999996,Slow,46-60
ORD000021,CUST1786,38.97651632035586,Other,Mumbai,North,RES434,Restaurant_499,Indian,10/12/2024,0:00,139.0,2.14,355.0,100.0,255.0,Wallet,Delivered,Not Cancelled,DP525,3.0,4.5,Weekend,False,0.0,0.0,Very Slow,36-45
ORD000022,CUST6963,38.97651632035586,Female,Delhi,North,RES830,Restaurant_449,Arabian,7/30/2024,0:00,41.0,2.72,1046.0,300.0,746.0,Card,Delivered,Not Cancelled,DP898,5.0,3.1,Weekday,False,0.01,1.0,Moderate,36-45
ORD000023,CUST5781,19.0,Other,Bangalore,South,RES127,Restaurant_293,Arabian,6/15/2024,0:00,22.0,5.11,1060.0,50.0,1010.0,Upi,Delivered,Not Cancelled,DP146,5.0,4.9,Weekend,False,0.37,37.0,Fast,18-25
ORD000024,CUST8146,30.0,Other,Bangalore,North,RES894,Restaurant_374,Chinese,3/25/2024,0:00,120.0,3.41,4014.0,50.0,3964.0,Upi,Delivered,Not Cancelled,DP662,2.0,3.4,Weekday,True,0.39,39.0,Slow,26-35
ORD000025,CUST9940,45.0,Other,Chennai,South,RES953,Restaurant_189,Italian,11/7/2024,0:00,122.0,22.68,687.0,50.0,637.0,Wallet,Delivered,Not Cancelled,DP416,4.0,5.0,Weekday,True,0.45,45.0,Very Slow,36-45
ORD000026,CUST2566,24.0,Female,Delhi,North,RES371,Restaurant_154,Indian,4/22/2024,0:00,209.0,6.61,483.0,20.0,463.0,Card,Delivered,Not Cancelled,DP425,1.0,5.0,Weekday,False,0.0,0.0,Very Slow,18-25
ORD000027,CUST5294,42.0,Other,Chennai,South,RES247,Restaurant_47,Indian,10/30/2024,0:00,177.0,7.17,917.0,50.0,867.0,Wallet,Delivered,Not Cancelled,DP374,3.0,4.3,Weekday,True,0.16,16.0,Very Slow,36-45
ORD000028,CUST4677,34.0,Other,Mumbai,North,RES402,Restaurant_66,Mexican,5/14/2024,0:00,56.0,1.52,1197.0,100.0,1097.0,Upi,Delivered,Not Cancelled,DP725,3.0,5.0,Weekday,True,0.0,0.0,Moderate,26-35
ORD000029,CUST1044,34.0,Other,Delhi,Central,RES220,Restaurant_313,Mexican,3/12/2024,0:00,50.0,30.37,1197.0,100.0,1097.0,Wallet,Delivered,Not Cancelled,DP393,1.0,3.3,Weekday,False,0.12,12.0,Moderate,26-35
ORD000030,CUST4477,22.0,Male,Bangalore,North,RES939,Restaurant_43,Indian,3/27/2024,0:00,245.0,9.97,2553.0,50.0,2503.0,Wallet,Delivered,Not Cancelled,DP810,4.0,5.0,Weekday,False,0.0,0.0,Very Slow,18-25
ORD000031,CUST6187,21.0,Male,Mumbai,East,RES289,Restaurant_25,Arabian,3/14/2024,0:00,298.0,5.18,1197.0,0.0,1197.0,Card,Delivered,Not Cancelled,DP176,2.0,3.9,Weekday,True,0.35,35.0,Very Slow,18-25
ORD000032,CUST5261,38.97651632035586,Female,Delhi,Central,RES403,Restaurant_270,Italian,12/4/2024,0:00,,9.97,674.0,50.0,624.0,Wallet,Cancelled,Not Cancelled,DP441,,3.2,Weekday,False,0.12,12.0,Very Slow,36-45
ORD000033,CUST8678,57.0,Other,Delhi,North,RES263,Restaurant_269,Arabian,2/13/2024,0:00,165.0,9.97,1197.0,100.0,1097.0,Upi,Delivered,Not Cancelled,DP128,4.0,4.8,Weekday,False,0.37,37.0,Very Slow,46-60
ORD000034,CUST1629,38.97651632035586,Male,Bangalore,West,RES910,Restaurant_419,Indian,1/2/2024,0:00,136.0,35.97,1197.0,20.0,1177.0,Upi,Delivered,Not Cancelled,DP712,3.0,5.0,Weekday,False,0.37,37.0,Very Slow,36-45
ORD000035,CUST5056,38.97651632035586,Other,Chennai,South,RES841,Restaurant_172,Mexican,4/13/2024,0:00,24.0,17.33,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP674,3.0,5.0,Weekend,True,0.11,11.0,Fast,36-45
ORD000036,CUST7232,38.97651632035586,Male,Bangalore,Central,RES415,Restaurant_300,Arabian,8/20/2024,0:00,245.0,6.56,999.0,100.0,899.0,Card,Delivered,Not Cancelled,DP714,3.0,5.0,Weekday,False,0.0,0.0,Very Slow,36-45
ORD000037,CUST6811,38.97651632035586,Male,Hyderabad,South,RES948,Restaurant_293,Mexican,10/18/2024,0:00,,8.26,2264.0,50.0,2214.0,Card,Cancelled,Customer Cancelled,DP275,,3.8,Weekday,False,0.05,5.0,Very Slow,36-45
ORD000038,CUST2250,38.97651632035586,Female,Bangalore,South,RES702,Restaurant_497,Indian,8/10/2024,0:00,29.0,7.19,1197.0,50.0,1147.0,Cod,Delivered,Not Cancelled,DP844,5.0,3.4,Weekend,False,0.19,19.0,Fast,36-45
ORD000039,CUST9613,38.97651632035586,Other,Hyderabad,East,RES110,Restaurant_500,Mexican,5/6/2024,0:00,,30.53,672.0,50.0,622.0,Cod,Cancelled,Not Cancelled,DP108,,5.0,Weekday,False,0.38,38.0,Very Slow,36-45
ORD000040,CUST3555,38.97651632035586,Other,Delhi,East,RES229,Restaurant_438,Indian,9/27/2024,0:00,120.0,2.4,1197.0,20.0,1177.0,Card,Delivered,Not Cancelled,DP343,5.0,4.8,Weekday,False,0.0,0.0,Slow,36-45
ORD000041,CUST5010,38.97651632035586,Other,Hyderabad,Central,RES299,Restaurant_400,Arabian,2/9/2024,0:00,199.0,9.97,1126.0,20.0,1106.0,Upi,Delivered,Not Cancelled,DP483,3.0,5.0,Weekday,False,0.21,21.0,Very Slow,36-45
ORD000042,CUST6170,38.97651632035586,Female,Bangalore,West,RES391,Restaurant_9,Mexican,9/16/2024,0:00,58.0,9.97,2017.0,0.0,2017.0,Wallet,Delivered,Not Cancelled,DP652,3.0,4.8,Weekday,False,0.44,44.0,Moderate,36-45
ORD000043,CUST7737,58.0,Female,Hyderabad,South,RES335,Restaurant_15,Chinese,9/21/2024,0:00,262.0,37.63,870.0,50.0,820.0,Card,Delivered,Not Cancelled,DP900,2.0,4.0,Weekend,False,0.46,46.0,Very Slow,46-60
ORD000044,CUST8465,38.97651632035586,Male,Chennai,South,RES593,Restaurant_342,Arabian,3/19/2024,0:00,66.0,25.21,1197.0,50.0,1147.0,Wallet,Delivered,Not Cancelled,DP421,5.0,3.5,Weekday,False,0.49,49.0,Slow,36-45
ORD000045,CUST4166,44.0,Other,Hyderabad,Central,RES456,Restaurant_238,Chinese,10/10/2024,0:00,63.0,3.09,1197.0,0.0,1197.0,Card,Delivered,Not Cancelled,DP691,4.0,5.0,Weekday,False,0.47,47.0,Slow,36-45
ORD000046,CUST6216,59.0,Female,Hyderabad,North,RES858,Restaurant_346,Chinese,8/12/2024,0:00,120.0,26.37,1197.0,20.0,1177.0,Card,Delivered,Not Cancelled,DP386,4.0,4.6,Weekday,False,0.19,19.0,Slow,46-60
ORD000047,CUST1019,38.97651632035586,Female,Bangalore,Central,RES944,Restaurant_248,Arabian,7/6/2024,0:00,51.0,9.17,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP286,2.0,3.7,Weekend,False,0.22,22.0,Moderate,36-45
ORD000048,CUST6889,38.97651632035586,Male,Hyderabad,Central,RES310,Restaurant_215,Italian,7/19/2024,0:00,120.0,19.74,4084.0,300.0,3784.0,Card,Delivered,Not Cancelled,DP100,5.0,4.5,Weekday,False,0.07,7.000000000000001,Slow,36-45
ORD000049,CUST6703,26.0,Other,Hyderabad,South,RES446,Restaurant_276,Arabian,6/4/2024,0:00,120.0,4.27,557.0,50.0,507.0,Card,Delivered,Not Cancelled,DP876,3.0,5.0,Weekday,False,0.19,19.0,Slow,26-35
ORD000050,CUST3667,38.97651632035586,Other,Bangalore,South,RES158,Restaurant_103,Arabian,4/13/2024,0:00,,9.97,1197.0,0.0,1197.0,Cod,Cancelled,Not Cancelled,DP539,,3.4,Weekend,False,0.0,0.0,Very Slow,36-45
ORD000051,CUST7662,38.97651632035586,Other,Bangalore,East,RES668,Restaurant_387,Indian,7/5/2024,0:00,154.0,21.54,4935.0,20.0,4915.0,Cod,Delivered,Not Cancelled,DP878,4.0,4.7,Weekday,False,0.46,46.0,Very Slow,36-45
ORD000052,CUST6754,38.97651632035586,Male,Hyderabad,East,RES768,Restaurant_261,Indian,12/12/2024,0:00,120.0,8.89,3438.0,50.0,3388.0,Card,Delivered,Not Cancelled,DP669,3.0,5.0,Weekday,True,0.0,0.0,Slow,36-45
ORD000053,CUST1336,38.97651632035586,Male,Mumbai,Central,RES424,Restaurant_2,Mexican,8/30/2024,0:00,290.0,38.13,626.0,0.0,626.0,Cod,Delivered,Not Cancelled,DP775,4.0,3.9,Weekday,True,0.3,30.0,Very Slow,36-45
ORD000054,CUST4116,48.0,Female,Mumbai,East,RES638,Restaurant_378,Indian,12/11/2024,0:00,30.0,9.97,4981.0,0.0,4981.0,Card,Delivered,Not Cancelled,DP204,2.0,4.1,Weekday,True,0.0,0.0,Fast,46-60
ORD000055,CUST5383,34.0,Male,Chennai,South,RES736,Restaurant_338,Indian,3/6/2024,0:00,,8.27,1197.0,50.0,1147.0,Wallet,Cancelled,Customer Cancelled,DP210,,5.0,Weekday,False,0.0,0.0,Very Slow,26-35
ORD000056,CUST4469,38.97651632035586,Other,Mumbai,South,RES753,Restaurant_450,Mexican,3/23/2024,0:00,33.0,23.64,1197.0,300.0,897.0,Card,Delivered,Not Cancelled,DP573,1.0,4.4,Weekend,False,0.42,42.0,Moderate,36-45
ORD000057,CUST9191,38.97651632035586,Other,Delhi,South,RES343,Restaurant_127,Arabian,9/25/2024,0:00,42.0,6.8,1163.0,100.0,1063.0,Wallet,Delivered,Not Cancelled,DP284,5.0,3.7,Weekday,False,0.24,24.0,Moderate,36-45
ORD000058,CUST3778,26.0,Other,Hyderabad,South,RES468,Restaurant_161,Indian,7/17/2024,0:00,70.0,9.97,1197.0,50.0,1147.0,Wallet,Delivered,Not Cancelled,DP384,4.0,3.4,Weekday,False,0.5,50.0,Slow,26-35
ORD000059,CUST5776,47.0,Female,Chennai,South,RES640,Restaurant_40,Arabian,1/14/2024,0:00,201.0,19.49,2336.0,100.0,2236.0,Cod,Delivered,Not Cancelled,DP159,5.0,4.0,Weekend,True,0.4,40.0,Very Slow,46-60
ORD000060,CUST1927,19.0,Female,Hyderabad,East,RES679,Restaurant_219,Mexican,8/13/2024,0:00,50.0,9.97,857.0,20.0,837.0,Card,Delivered,Not Cancelled,DP852,5.0,3.1,Weekday,False,0.03,3.0,Moderate,18-25
ORD000061,CUST4574,27.0,Female,Chennai,South,RES425,Restaurant_188,Italian,5/9/2024,0:00,,7.07,3400.0,20.0,3380.0,Wallet,Cancelled,Not Cancelled,DP537,,5.0,Weekday,False,0.2,20.0,Very Slow,26-35
ORD000062,CUST2525,45.0,Female,Mumbai,Central,RES616,Restaurant_471,Chinese,7/27/2024,0:00,23.0,31.9,2013.0,300.0,1713.0,Cod,Delivered,Not Cancelled,DP625,4.0,4.7,Weekend,False,0.27,27.0,Fast,36-45
ORD000063,CUST7853,38.97651632035586,Other,Bangalore,Central,RES421,Restaurant_397,Mexican,11/2/2024,0:00,120.0,9.97,618.0,100.0,518.0,Upi,Delivered,Not Cancelled,DP429,5.0,3.7,Weekend,True,0.0,0.0,Slow,36-45
ORD000064,CUST9846,41.0,Male,Delhi,North,RES517,Restaurant_413,Indian,5/31/2024,0:00,236.0,16.64,3938.0,50.0,3888.0,Upi,Delivered,Not Cancelled,DP557,5.0,4.6,Weekday,True,0.0,0.0,Very Slow,36-45
ORD000065,CUST4984,21.0,Female,Bangalore,North,RES895,Restaurant_454,Mexican,5/27/2024,0:00,120.0,9.97,1120.0,20.0,1100.0,Wallet,Delivered,Not Cancelled,DP755,3.0,3.2,Weekday,False,0.0,0.0,Slow,18-25
ORD000066,CUST5477,38.97651632035586,Other,Mumbai,East,RES172,Restaurant_85,Indian,5/13/2024,0:00,150.0,9.97,881.0,50.0,831.0,Card,Delivered,Not Cancelled,DP162,1.0,3.8,Weekday,False,0.0,0.0,Very Slow,36-45
ORD000067,CUST7439,38.97651632035586,Female,Bangalore,South,RES173,Restaurant_56,Arabian,5/2/2024,0:00,22.0,28.95,500.0,20.0,480.0,Card,Delivered,Not Cancelled,DP161,5.0,3.6,Weekday,True,0.09,9.0,Fast,36-45
ORD000068,CUST5875,25.0,Female,Delhi,East,RES482,Restaurant_289,Italian,6/30/2024,0:00,120.0,2.63,1197.0,20.0,1177.0,Card,Delivered,Not Cancelled,DP897,1.0,3.5,Weekend,True,0.31,31.0,Slow,18-25
ORD000069,CUST9761,38.97651632035586,Other,Chennai,East,RES555,Restaurant_428,Indian,12/6/2024,0:00,64.0,30.18,1197.0,300.0,897.0,Cod,Delivered,Not Cancelled,DP323,3.0,3.5,Weekday,False,0.1,10.0,Slow,36-45
ORD000070,CUST9697,38.97651632035586,Female,Hyderabad,Central,RES759,Restaurant_373,Indian,9/7/2024,0:00,120.0,9.97,1197.0,50.0,1147.0,Upi,Delivered,Not Cancelled,DP678,5.0,5.0,Weekend,False,0.0,0.0,Slow,36-45
ORD000071,CUST4467,48.0,Other,Mumbai,East,RES850,Restaurant_233,Indian,7/15/2024,0:00,273.0,31.65,1197.0,50.0,1147.0,Card,Delivered,Not Cancelled,DP503,2.0,3.9,Weekday,False,0.0,0.0,Very Slow,46-60
ORD000072,CUST6275,38.97651632035586,Other,Delhi,North,RES616,Restaurant_131,Mexican,9/6/2024,0:00,120.0,7.63,1197.0,20.0,1177.0,Card,Delivered,Not Cancelled,DP583,1.0,3.6,Weekday,False,0.23,23.0,Slow,36-45
ORD000073,CUST2163,38.97651632035586,Male,Hyderabad,South,RES598,Restaurant_139,Italian,1/14/2024,0:00,120.0,9.97,1197.0,20.0,1177.0,Wallet,Delivered,Not Cancelled,DP664,1.0,3.0,Weekend,False,0.0,0.0,Slow,36-45
ORD000074,CUST9578,24.0,Other,Hyderabad,Central,RES550,Restaurant_144,Mexican,7/21/2024,0:00,,6.13,1197.0,0.0,1197.0,Cod,Cancelled,Customer Cancelled,DP124,,4.6,Weekend,False,0.0,0.0,Very Slow,18-25
ORD000075,CUST4510,38.97651632035586,Other,Hyderabad,West,RES704,Restaurant_492,Indian,3/15/2024,0:00,136.0,24.91,781.0,20.0,761.0,Card,Delivered,Not Cancelled,DP686,1.0,3.8,Weekday,False,0.02,2.0,Very Slow,36-45
ORD000076,CUST7457,19.0,Other,Delhi,East,RES439,Restaurant_253,Chinese,3/9/2024,0:00,70.0,9.97,2770.0,20.0,2750.0,Wallet,Delivered,Not Cancelled,DP192,2.0,3.8,Weekend,False,0.0,0.0,Slow,18-25
